Pair,Sharpe Ratio,Volatility,Average Trade Duration (Hours),Total Trades,Total Profit,Buy Trades,Sell Trades,Max Loss,Average Win,Average Loss,Profit 2020,Profit 2021,Profit 2022,Profit 2023,Profit 2024,Profit 2025
EURJPY_GBPJPY_divergence_backtest_report.csv,0.3920620303747961,663.1792195122563,853.9478260869566,23,5980.169999999998,8,15,-1584.92,505.14649999999995,-1374.2533333333333,,633.9899999999999,3197.8599999999997,2649.21,-35.02000000000015,-465.87000000000006
AUDJPY_CADJPY_divergence_backtest_report.csv,0.06568608979495133,1386.5981831203162,501.8702127659575,47,4280.77,25,22,-5254.75,526.999761904762,-3570.6440000000002,,1567.71,-5491.01,6295.4400000000005,-1644.0099999999995,3552.64
NZDUSD_NZDCAD_divergence_backtest_report.csv,0.05600286209161422,1127.2812362068412,646.0634146341464,41,2588.370000000001,22,19,-3548.79,522.5535294117648,-2168.35,,-525.7900000000002,5730.61,-6855.049999999999,1136.5,3102.1
EURUSD_GBPUSD_divergence_backtest_report.csv,0.44198963218252174,758.8712265250688,484.2785714285714,56,18783.14,25,31,-3393.14,529.2673076923077,-2184.69,7782.28,4320.12,2663.4,4768.29,-1329.7299999999998,578.78
GBPJPY_NZDJPY_divergence_backtest_report.csv,0.024131191119796405,1729.0632124860351,367.1564516129032,62,2586.909999999999,34,28,-8083.27,526.5542105263158,-5485.336,,3119.75,9898.01,-6698.410000000001,-1949.43,-1783.0099999999998
EURAUD_GBPAUD_divergence_backtest_report.csv,0.26933541467677136,988.9893870300582,395.80266666666665,75,19977.739999999998,36,39,-6406.94,529.0632352941175,-2285.508571428571,14019.44,146.98000000000013,783.5499999999997,2481.06,2043.0399999999997,503.67
AUDUSD_AUDCAD_divergence_backtest_report.csv,0.9016844812143701,453.5768331496085,413.15319148936175,47,19222.209999999995,23,24,-1818.28,519.938409090909,-1218.36,,6144.360000000001,5121.47,2162.24,3139.17,2654.9700000000003
EURAUD_EURNZD_divergence_backtest_report.csv,0.46359258460589015,675.9850719637351,647.8333333333334,30,9401.449999999999,16,14,-1776.09,534.3059259259259,-1674.9366666666667,2061.4700000000003,-595.98,1587.28,3297.93,1509.12,1541.63
EURJPY_CHFJPY_divergence_backtest_report.csv,0.14554631802881995,986.0808347909559,753.489130434783,46,6601.940000000001,23,23,-4226.99,509.3826315789474,-1594.3249999999998,-5319.57,-66.27999999999994,,2030.3900000000003,7840.85,2116.55
GBPAUD_GBPNZD_divergence_backtest_report.csv,0.2828806669646972,1064.2030113167402,274.07118644067793,118,35523.01000000001,55,63,-5903.8,545.2365765765766,-3571.178571428571,4204.97,-4793.82,8566.98,26557.08,729.1600000000002,258.64
AUDCHF_NZDCHF_divergence_backtest_report.csv,0.09094389108516161,1299.9468222831665,675.3925925925926,27,3192.0,8,19,-4315.91,545.9816666666667,-3303.853333333333,-3314.89,-843.2300000000005,-123.44000000000005,2110.49,5363.07,
AUDJPY_NZDJPY_divergence_backtest_report.csv,0.04257110581111111,1223.1804146264865,690.3571428571429,14,729.0100000000008,5,9,-3256.41,527.795,-2802.265,,-2249.0,-1296.9499999999998,2567.97,1203.7600000000002,503.23
AUDCAD_NZDCAD_divergence_backtest_report.csv,0.3637477268853046,627.8605755105374,795.2499999999999,28,6394.719999999999,13,15,-1794.31,517.6804545454546,-832.375,,-1754.5299999999997,3196.4300000000003,4305.25,131.64999999999992,515.92
AUDUSD_NZDUSD_divergence_backtest_report.csv,0.07752853931505618,1542.577108463266,833.1875,24,2870.25,14,10,-6817.58,512.7213636363635,-4204.8099999999995,3067.13,1526.26,-7369.66,2011.8,2929.0,705.72
GBPJPY_CADJPY_divergence_backtest_report.csv,-0.052640976147098936,1856.1442517703704,453.8849056603774,53,-5178.59,23,30,-8107.44,533.6261702127659,-5043.17,,2657.8000000000006,-3639.0399999999995,-1399.9100000000003,-2014.0799999999997,-783.3600000000001
EURJPY_CADJPY_divergence_backtest_report.csv,0.1192672821539892,1237.8104292145792,450.45428571428573,70,10334.119999999999,33,37,-6513.15,524.5854838709678,-2773.7725,2288.07,772.6400000000004,1684.04,4375.929999999999,916.2199999999998,297.2199999999998
EURJPY_AUDJPY_divergence_backtest_report.csv,0.3148490727025535,881.367679530469,439.5694915254237,59,16372.37,27,32,-4375.93,530.3203846153846,-1600.612857142857,,1487.47,-2568.8500000000004,13153.52,-456.0599999999997,4756.29
GBPJPY_AUDJPY_divergence_backtest_report.csv,-0.016541223322266187,1771.9489973984037,511.7959183673469,49,-1436.2000000000003,23,26,-10186.95,525.342380952381,-3357.225714285714,,4304.73,-4390.85,-2386.430000000001,-620.1700000000001,1656.52
NZDJPY_CADJPY_divergence_backtest_report.csv,0.1395686885139891,1228.573001626067,581.3451612903226,62,10631.16,32,30,-6847.97,528.0574545454546,-2630.285714285714,915.3199999999999,5513.96,-3744.8599999999997,4481.6,5051.26,-1586.12
